,省,市,新增确认,确认,死亡,治愈
1,湖北,武汉,1548,39462,1233,2915
2,湖北,孝感,87,3201,65,353
3,湖北,黄冈,6,2823,75,716
4,湖北,荆州,12,1490,36,263
5,湖北,随州,22,1254,22,113
6,湖北,鄂州,38,1230,34,222
7,湖北,襄阳,16,1144,19,114
8,湖北,黄石,8,988,14,192
9,湖北,荆门,7,909,30,117
10,湖北,宜昌,0,901,21,140
11,湖北,咸宁,12,852,8,152
12,湖北,十堰,5,602,2,116
13,湖北,仙桃,9,523,17,87
14,湖北,天门,25,447,10,27
15,湖北,恩施州,3,247,4,76
16,湖北,潜江,50,166,6,12
17,湖北,神农架,0,10,0,8
18,广东,深圳,0,406,0,104
19,广东,广州,0,335,0,93
20,广东,珠海,0,95,0,27
21,广东,佛山,0,84,0,22
22,广东,东莞,0,81,1,7
23,广东,中山,0,65,0,26
24,广东,惠州,0,58,0,18
25,广东,汕头,0,25,0,9
26,广东,湛江,0,22,0,11
27,广东,江门,0,22,0,3
28,广东,肇庆,0,17,1,7
29,广东,梅州,0,15,0,7
30,广东,阳江,0,13,0,5
31,广东,茂名,0,13,0,3
32,广东,清远,0,12,0,5
33,广东,韶关,0,10,0,3
34,广东,揭阳,0,8,0,4
35,广东,汕尾,0,5,0,1
36,广东,潮州,0,5,0,0
37,广东,河源,0,3,0,1
38,广东,地区待确认,0,0,0,30
39,河南,信阳,9,261,0,28
40,河南,南阳,1,151,2,28
41,河南,郑州,4,148,0,36
42,河南,驻马店,0,138,0,25
43,河南,商丘,1,91,0,9
44,河南,周口,1,71,0,16
45,河南,平顶山,0,58,1,13
46,河南,新乡,1,56,1,6
47,河南,安阳,0,51,0,10
48,河南,许昌,1,38,0,2
49,河南,漯河,0,34,0,6
50,河南,洛阳,0,31,0,2
51,河南,焦作,0,30,1,1
52,河南,开封,1,26,0,1
53,河南,鹤壁,0,19,0,3
54,河南,濮阳,0,17,0,1
55,河南,三门峡,0,7,0,3
56,河南,济源示范区,0,4,0,0
57,河南,地区待确认,0,0,8,207
58,浙江,温州,0,499,0,159
59,浙江,杭州,0,166,0,73
60,浙江,宁波,0,154,0,46
61,浙江,台州,0,145,0,53
62,浙江,金华,0,55,0,24
63,浙江,嘉兴,0,43,0,10
64,浙江,绍兴,0,42,0,17
65,浙江,衢州,0,21,0,8
66,浙江,丽水,0,17,0,10
67,浙江,舟山,0,10,0,5
68,浙江,湖州,0,10,0,4
69,湖南,长沙,0,241,0,66
70,湖南,岳阳,0,153,1,48
71,湖南,邵阳,0,100,1,50
72,湖南,株洲,0,78,0,23
73,湖南,常德,0,78,0,27
74,湖南,娄底,0,75,0,29
75,湖南,益阳,0,59,0,24
76,湖南,衡阳,0,47,0,26
77,湖南,永州,0,43,0,23
78,湖南,怀化,0,40,0,28
79,湖南,郴州,0,39,0,22
80,湖南,湘潭,0,35,0,14
81,湖南,湘西自治州,0,8,0,6
82,湖南,张家界,0,5,0,3
83,安徽,合肥,0,168,1,43
84,安徽,蚌埠,0,153,5,7
85,安徽,阜阳,0,150,0,32
86,安徽,亳州,0,107,0,25
87,安徽,安庆,0,82,0,33
88,安徽,六安,0,63,0,15
89,安徽,宿州,0,39,0,11
90,安徽,马鞍山,0,35,0,10
91,安徽,芜湖,0,31,0,11
92,安徽,铜陵,0,28,0,10
93,安徽,淮北,0,26,0,10
94,安徽,淮南,0,23,0,7
95,安徽,池州,0,17,0,4
96,安徽,滁州,0,13,0,7
97,安徽,黄山,0,9,0,1
98,安徽,宣城,0,6,0,4
99,安徽,地区待确认,0,0,0,2
100,江西,南昌,0,222,0,72
101,江西,新余,0,127,0,34
102,江西,上饶,0,123,0,20
103,江西,九江,0,115,0,18
104,江西,宜春,0,102,0,20
105,江西,赣州,0,76,1,14
106,江西,抚州,0,72,0,17
107,江西,萍乡,0,32,0,4
108,江西,吉安,0,20,0,7
109,江西,鹰潭,0,18,0,3
110,江西,景德镇,0,5,0,1
111,江西,赣江新区,0,1,0,0
112,江苏,南京,0,91,0,27
113,江苏,苏州,0,86,0,17
114,江苏,徐州,0,77,0,20
115,江苏,淮安,0,60,0,11
116,江苏,无锡,0,52,0,15
117,江苏,连云港,0,46,0,10
118,江苏,常州,0,43,0,11
119,江苏,南通,0,40,0,13
120,江苏,泰州,0,37,0,16
121,江苏,盐城,0,27,0,6
122,江苏,扬州,0,21,0,6
123,江苏,镇江,0,12,0,2
124,江苏,宿迁,0,12,0,6
125,重庆,万州区,1,105,3,34
126,重庆,江北区,1,27,0,3
127,重庆,合川区,0,23,0,6
128,重庆,云阳县,0,23,0,16
129,重庆,綦江区,1,23,0,5
130,重庆,忠县,1,20,0,9
131,重庆,渝中区,0,20,0,7
132,重庆,垫江县,0,20,0,5
133,重庆,奉节县,0,20,0,5
134,重庆,开州区,0,20,1,12
135,重庆,九龙坡区,0,20,1,7
136,重庆,长寿区,2,20,0,9
137,重庆,潼南区,1,18,0,2
138,重庆,两江新区,0,17,0,7
139,重庆,南岸区,0,15,0,2
140,重庆,渝北区,0,15,0,5
141,重庆,大足区,0,14,0,2
142,重庆,石柱县,0,14,0,5
143,重庆,巫溪县,0,13,0,8
144,重庆,巫山县,0,10,0,5
145,重庆,丰都县,0,10,0,3
146,重庆,铜梁区,0,9,0,2
147,重庆,荣昌区,0,9,0,0
148,重庆,璧山区,0,8,0,4
149,重庆,沙坪坝区,0,8,0,0
150,重庆,大渡口区,0,7,0,4
151,重庆,巴南区,0,6,0,1
152,重庆,永川区,0,5,0,2
153,重庆,高新区,0,4,0,1
154,重庆,江津区,0,4,0,2
155,重庆,梁平区,0,4,0,4
156,重庆,涪陵区,0,3,0,1
157,重庆,城口县,0,2,0,2
158,重庆,黔江区,0,2,0,2
159,重庆,彭水县,0,2,0,0
160,重庆,武隆区,0,1,0,1
161,重庆,万盛经开区,0,1,0,0
162,重庆,酉阳县,0,1,0,0
163,重庆,秀山县,0,1,0,1
164,山东,青岛,1,57,1,22
165,山东,济宁,2,51,0,18
166,山东,临沂,0,47,0,29
167,山东,济南,0,47,0,11
168,山东,烟台,0,46,0,13
169,山东,潍坊,1,43,0,9
170,山东,威海,0,38,0,9
171,山东,聊城,0,38,0,10
172,山东,德州,1,37,1,7
173,山东,泰安,0,32,0,5
174,山东,淄博,1,29,0,4
175,山东,枣庄,0,24,0,4
176,山东,菏泽,0,18,0,11
177,山东,日照,1,16,0,3
178,山东,滨州,0,14,0,9
179,四川,成都,1,140,1,49
180,四川,甘孜,0,44,0,3
181,四川,达州,0,36,0,5
182,四川,南充,0,35,0,9
183,四川,广安,0,30,0,8
184,四川,巴中,0,24,0,1
185,四川,内江,0,22,0,5
186,四川,绵阳,0,22,0,6
187,四川,泸州,0,19,0,2
188,四川,德阳,0,17,0,0
189,四川,攀枝花,0,13,0,10
190,四川,遂宁,2,12,0,4
191,四川,凉山,0,11,0,4
192,四川,宜宾,0,11,0,6
193,四川,自贡,0,9,0,2
194,四川,眉山,0,8,0,2
195,四川,雅安,0,7,0,2
196,四川,广元,0,6,0,2
197,四川,资阳,0,3,0,2
198,四川,乐山,0,3,0,2
199,四川,阿坝,0,1,0,0
200,黑龙江,哈尔滨,15,182,3,30
201,黑龙江,双鸭山,1,49,2,1
202,黑龙江,鸡西,1,46,0,1
203,黑龙江,绥化,0,46,4,12
204,黑龙江,齐齐哈尔,2,38,1,8
205,黑龙江,大庆,0,19,1,2
206,黑龙江,七台河,0,16,0,4
207,黑龙江,佳木斯,0,15,0,9
208,黑龙江,黑河,1,14,0,0
209,黑龙江,牡丹江,0,12,0,1
210,黑龙江,鹤岗,0,5,0,2
211,黑龙江,大兴安岭,0,2,0,0
212,黑龙江,伊春,0,1,0,0
213,北京,海淀,0,59,0,0
214,北京,朝阳,0,58,0,0
215,北京,西城,0,46,0,0
216,北京,大兴,0,39,0,0
217,北京,丰台,0,38,0,0
218,北京,外地来京,0,26,0,0
219,北京,昌平,0,24,0,0
220,北京,通州,0,17,0,0
221,北京,房山,0,14,0,0
222,北京,石景山,0,14,0,0
223,北京,东城,0,12,0,0
224,北京,顺义,0,10,0,0
225,北京,密云,0,7,0,0
226,北京,怀柔,0,7,0,0
227,北京,门头沟,0,3,0,0
228,北京,延庆,0,1,0,0
229,北京,地区待确认,0,0,4,97
230,上海,外地来沪,0,109,0,48
231,上海,浦东,1,57,0,27
232,上海,宝山,1,21,0,5
233,上海,徐汇,0,18,0,4
234,上海,闵行,0,18,0,7
235,上海,静安,0,16,0,7
236,上海,松江,0,14,0,2
237,上海,长宁,0,13,0,6
238,上海,普陀,0,11,0,2
239,上海,嘉定,0,9,0,2
240,上海,奉贤,0,9,0,1
241,上海,杨浦,0,9,0,2
242,上海,虹口,0,7,0,3
243,上海,黄浦,0,6,0,2
244,上海,青浦,0,5,0,4
245,上海,金山,0,3,0,2
246,上海,崇明,0,3,0,0
247,上海,地区待确认,0,0,1,0
248,河北,唐山,5,51,0,9
249,河北,沧州,1,47,2,14
250,河北,张家口,1,34,0,9
251,河北,保定,0,32,0,19
252,河北,邯郸,0,31,0,9
253,河北,廊坊,1,30,0,14
254,河北,石家庄,1,28,0,7
255,河北,邢台,0,22,1,10
256,河北,秦皇岛,0,10,0,3
257,河北,衡水,0,8,0,4
258,河北,承德,0,7,0,2
259,福建,福州,2,68,0,20
