,省,确认,死亡,治愈
0,湖北,19665,549,680
1,广东,970,0,59
2,浙江,954,0,97
3,河南,851,2,63
4,湖南,711,0,69
5,江西,600,0,37
6,安徽,591,0,45
7,重庆,400,2,24
8,江苏,373,0,36
9,山东,347,0,30
10,四川,321,1,28
11,北京,274,1,38
12,上海,257,1,25
13,黑龙江,227,3,8
14,福建,215,0,14
15,陕西,173,0,9
16,广西,168,0,14
17,河北,157,1,18
18,云南,133,0,6
19,海南,106,1,8
20,辽宁,94,0,5
21,山西,90,0,9
22,天津,79,1,2
23,贵州,71,1,6
24,甘肃,62,0,6
25,吉林,60,0,4
26,内蒙古,46,0,4
27,宁夏,40,0,1
28,新疆,36,0,0
29,香港,24,1,0
30,青海,18,0,3
31,台湾,16,0,1
32,澳门,10,0,1
33,西藏,1,0,0
