,省,市,确认,疑似,死亡,治愈
0,湖北,武汉,10117,0,414,431
1,湖北,孝感,1886,0,25,9
2,湖北,黄冈,1807,0,29,60
3,湖北,随州,834,0,9,9
4,湖北,荆州,801,0,10,18
5,湖北,襄阳,787,0,2,10
6,湖北,黄石,566,0,2,25
7,湖北,宜昌,563,0,6,9
8,湖北,荆门,508,0,17,21
9,湖北,鄂州,423,0,18,8
10,湖北,咸宁,399,0,1,3
11,湖北,十堰,353,0,0,14
12,湖北,仙桃,265,0,5,0
13,湖北,恩施州,144,0,0,10
14,湖北,天门,138,0,10,1
15,湖北,潜江,64,0,1,0
16,湖北,神农架,10,0,0,2
17,湖北,地区待确认,0,0,0,3
18,浙江,温州,364,0,0,28
19,浙江,杭州,141,0,0,14
20,浙江,台州,122,0,0,14
21,浙江,宁波,120,0,0,4
22,浙江,金华,44,0,0,8
23,浙江,绍兴,30,0,0,3
24,浙江,嘉兴,27,0,0,0
25,浙江,丽水,16,0,0,1
26,浙江,衢州,15,0,0,2
27,浙江,湖州,9,0,0,1
28,浙江,舟山,7,0,0,2
29,广东,深圳,291,0,0,16
30,广东,广州,249,0,0,3
31,广东,珠海,72,0,0,4
32,广东,佛山,50,0,0,1
33,广东,东莞,44,0,0,1
34,广东,中山,36,0,0,3
35,广东,惠州,34,0,0,1
36,广东,汕头,20,0,0,3
37,广东,湛江,18,0,0,1
38,广东,肇庆,13,0,0,1
39,广东,阳江,12,0,0,0
40,广东,梅州,10,0,0,0
41,广东,清远,10,0,0,2
42,广东,江门,7,0,0,0
43,广东,揭阳,6,0,0,0
44,广东,韶关,6,0,0,1
45,广东,茂名,6,0,0,0
46,广东,汕尾,5,0,0,0
47,广东,潮州,5,0,0,0
48,广东,河源,1,0,0,0
49,广东,地区待确认,0,0,0,2
50,河南,信阳,138,0,0,6
51,河南,南阳,107,0,2,1
52,河南,郑州,92,0,0,20
53,河南,驻马店,82,0,0,2
54,河南,商丘,61,0,0,3
55,河南,周口,56,0,0,1
56,河南,新乡,39,0,0,2
57,河南,安阳,35,0,0,1
58,河南,平顶山,34,0,0,0
59,河南,漯河,24,0,0,0
60,河南,许昌,24,0,0,0
61,河南,洛阳,17,0,0,1
62,河南,开封,17,0,0,0
63,河南,焦作,15,0,0,0
64,河南,鹤壁,10,0,0,0
65,河南,三门峡,7,0,0,1
66,河南,濮阳,4,0,0,0
67,河南,济源示范区,2,0,0,0
68,河南,地区待确认,0,0,0,12
69,湖南,长沙,164,0,0,8
70,湖南,岳阳,89,0,0,0
71,湖南,邵阳,68,0,0,2
72,湖南,常德,56,0,0,3
73,湖南,娄底,45,0,0,3
74,湖南,益阳,40,0,0,1
75,湖南,衡阳,39,0,0,5
76,湖南,株洲,38,0,0,2
77,湖南,怀化,35,0,0,6
78,湖南,永州,30,0,0,5
79,湖南,郴州,24,0,0,2
80,湖南,湘潭,23,0,0,4
81,湖南,湘西自治州,7,0,0,1
82,湖南,张家界,3,0,0,2
83,江西,南昌,134,0,0,7
84,江西,九江,86,0,0,2
85,江西,上饶,69,0,0,5
86,江西,新余,69,0,0,4
87,江西,赣州,48,0,0,1
88,江西,宜春,48,0,0,4
89,江西,抚州,44,0,0,1
90,江西,萍乡,22,0,0,1
91,江西,吉安,15,0,0,1
92,江西,鹰潭,9,0,0,0
93,江西,景德镇,4,0,0,1
94,安徽,合肥,93,0,0,5
95,安徽,阜阳,84,0,0,3
96,安徽,亳州,58,0,0,2
97,安徽,安庆,56,0,0,3
98,安徽,蚌埠,48,0,0,0
99,安徽,六安,34,0,0,1
100,安徽,马鞍山,30,0,0,0
101,安徽,宿州,24,0,0,0
102,安徽,芜湖,23,0,0,2
103,安徽,铜陵,19,0,0,1
104,安徽,淮北,14,0,0,0
105,安徽,淮南,12,0,0,2
106,安徽,滁州,11,0,0,2
107,安徽,池州,11,0,0,1
108,安徽,黄山,9,0,0,0
109,安徽,宣城,4,0,0,1
110,重庆,万州区,68,0,1,2
111,重庆,云阳县,19,0,0,2
112,重庆,九龙坡区,19,0,1,0
113,重庆,江北区,18,0,0,0
114,重庆,开州区,18,0,0,0
115,重庆,渝中区,17,0,0,0
116,重庆,垫江县,16,0,0,1
117,重庆,忠县,15,0,0,1
118,重庆,两江新区,14,0,0,0
119,重庆,綦江区,13,0,0,0
