,省,市,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,湖北,武汉,1548,39462,1233,2915,3.12,7.39
2,湖北,孝感,87,3201,65,353,2.03,11.03
3,湖北,黄冈,6,2823,75,716,2.66,25.36
4,湖北,荆州,12,1490,36,263,2.42,17.65
5,湖北,随州,22,1254,22,113,1.75,9.01
6,湖北,鄂州,38,1230,34,222,2.76,18.05
7,湖北,襄阳,16,1144,19,114,1.66,9.97
8,湖北,黄石,8,988,14,192,1.42,19.43
9,湖北,荆门,7,909,30,117,3.30,12.87
10,湖北,宜昌,0,901,21,140,2.33,15.54
11,湖北,咸宁,12,852,8,152,0.94,17.84
12,湖北,十堰,5,602,2,116,0.33,19.27
13,湖北,仙桃,9,523,17,87,3.25,16.63
14,湖北,天门,25,447,10,27,2.24,6.04
15,湖北,恩施州,3,247,4,76,1.62,30.77
16,湖北,潜江,50,166,6,12,3.61,7.23
17,湖北,神农架,0,10,0,8,0.00,80.00
18,广东,深圳,8,414,0,121,0.00,29.23
19,广东,广州,3,338,0,115,0.00,34.02
20,广东,珠海,1,96,0,27,0.00,28.12
21,广东,东莞,8,89,1,7,1.12,7.87
22,广东,佛山,0,84,0,22,0.00,26.19
23,广东,中山,0,65,0,26,0.00,40.00
24,广东,惠州,0,58,0,26,0.00,44.83
25,广东,汕头,0,25,0,11,0.00,44.00
26,广东,江门,1,23,0,3,0.00,13.04
27,广东,湛江,0,22,0,11,0.00,50.00
28,广东,肇庆,0,17,1,8,5.88,47.06
29,广东,梅州,1,16,0,7,0.00,43.75
30,广东,茂名,0,13,0,3,0.00,23.08
31,广东,阳江,0,13,0,7,0.00,53.85
32,广东,清远,0,12,0,5,0.00,41.67
33,广东,韶关,0,10,0,4,0.00,40.00
34,广东,揭阳,0,8,0,4,0.00,50.00
35,广东,汕尾,0,5,0,1,0.00,20.00
36,广东,潮州,0,5,0,1,0.00,20.00
37,广东,河源,0,3,0,1,0.00,33.33
38,广东,地区待确认,0,0,0,26,0.00,0.00
39,河南,信阳,9,261,0,28,0.00,10.73
40,河南,南阳,1,151,2,28,1.32,18.54
41,河南,郑州,4,148,0,36,0.00,24.32
42,河南,驻马店,0,138,0,25,0.00,18.12
43,河南,商丘,1,91,0,9,0.00,9.89
44,河南,周口,1,71,0,16,0.00,22.54
45,河南,平顶山,0,58,1,13,1.72,22.41
46,河南,新乡,1,56,1,6,1.79,10.71
47,河南,安阳,0,51,0,10,0.00,19.61
48,河南,许昌,1,38,0,2,0.00,5.26
49,河南,漯河,0,34,0,6,0.00,17.65
50,河南,洛阳,0,31,0,2,0.00,6.45
51,河南,焦作,0,30,1,1,3.33,3.33
52,河南,开封,1,26,0,1,0.00,3.85
53,河南,鹤壁,0,19,0,3,0.00,15.79
54,河南,濮阳,0,17,0,1,0.00,5.88
55,河南,三门峡,0,7,0,3,0.00,42.86
56,河南,济源示范区,0,4,0,0,0.00,0.00
57,河南,地区待确认,0,0,8,207,0.00,0.00
58,浙江,温州,3,502,0,169,0.00,33.67
59,浙江,杭州,0,166,0,75,0.00,45.18
60,浙江,宁波,1,155,0,53,0.00,34.19
61,浙江,台州,1,146,0,60,0.00,41.10
62,浙江,金华,0,55,0,24,0.00,43.64
63,浙江,嘉兴,0,43,0,11,0.00,25.58
64,浙江,绍兴,0,42,0,17,0.00,40.48
65,浙江,衢州,0,21,0,9,0.00,42.86
66,浙江,丽水,0,17,0,10,0.00,58.82
67,浙江,舟山,0,10,0,5,0.00,50.00
68,浙江,湖州,0,10,0,4,0.00,40.00
69,湖南,长沙,0,241,1,73,0.41,30.29
70,湖南,岳阳,1,154,1,51,0.65,33.12
71,湖南,邵阳,1,101,1,59,0.99,58.42
72,湖南,常德,1,79,0,28,0.00,35.44
73,湖南,株洲,0,78,0,29,0.00,37.18
74,湖南,娄底,0,75,0,34,0.00,45.33
75,湖南,益阳,0,59,0,25,0.00,42.37
76,湖南,衡阳,0,47,0,28,0.00,59.57
77,湖南,永州,0,43,0,27,0.00,62.79
78,湖南,怀化,0,40,0,30,0.00,75.00
79,湖南,郴州,0,39,0,22,0.00,56.41
80,湖南,湘潭,0,35,0,14,0.00,40.00
81,湖南,湘西自治州,0,8,0,6,0.00,75.00
82,湖南,张家界,0,5,0,4,0.00,80.00
83,安徽,合肥,1,169,1,49,0.59,28.99
84,安徽,蚌埠,4,157,5,13,3.18,8.28
85,安徽,阜阳,2,152,0,37,0.00,24.34
86,安徽,亳州,1,108,0,35,0.00,32.41
87,安徽,安庆,0,82,0,34,0.00,41.46
88,安徽,六安,2,65,0,16,0.00,24.62
89,安徽,宿州,0,39,0,13,0.00,33.33
90,安徽,马鞍山,1,36,0,10,0.00,27.78
91,安徽,芜湖,0,31,0,13,0.00,41.94
92,安徽,铜陵,0,28,0,10,0.00,35.71
93,安徽,淮北,0,26,0,10,0.00,38.46
94,安徽,淮南,1,24,0,8,0.00,33.33
95,安徽,池州,0,17,0,6,0.00,35.29
96,安徽,滁州,0,13,0,7,0.00,53.85
97,安徽,黄山,0,9,0,1,0.00,11.11
98,安徽,宣城,0,6,0,4,0.00,66.67
99,江西,南昌,5,227,0,75,0.00,33.04
100,江西,新余,2,129,0,37,0.00,28.68
101,江西,上饶,0,123,0,31,0.00,25.20
102,江西,九江,2,117,0,22,0.00,18.80
103,江西,宜春,2,104,0,20,0.00,19.23
104,江西,赣州,0,76,1,17,1.32,22.37
105,江西,抚州,0,72,0,20,0.00,27.78
106,江西,萍乡,0,32,0,4,0.00,12.50
107,江西,吉安,1,21,0,9,0.00,42.86
108,江西,鹰潭,0,18,0,3,0.00,16.67
109,江西,景德镇,0,5,0,1,0.00,20.00
110,江西,赣江新区,0,1,0,0,0.00,0.00
111,江苏,南京,0,91,0,27,0.00,29.67
112,江苏,苏州,0,86,0,17,0.00,19.77
113,江苏,徐州,0,77,0,20,0.00,25.97
114,江苏,淮安,0,60,0,11,0.00,18.33
115,江苏,无锡,0,52,0,15,0.00,28.85
116,江苏,连云港,0,46,0,10,0.00,21.74
117,江苏,常州,0,43,0,11,0.00,25.58
118,江苏,南通,0,40,0,13,0.00,32.50
119,江苏,泰州,0,37,0,16,0.00,43.24
120,江苏,盐城,0,27,0,6,0.00,22.22
121,江苏,扬州,0,21,0,6,0.00,28.57
122,江苏,镇江,0,12,0,2,0.00,16.67
123,江苏,宿迁,0,12,0,6,0.00,50.00
124,重庆,万州区,1,105,3,34,2.86,32.38
125,重庆,江北区,1,27,0,3,0.00,11.11
126,重庆,合川区,0,23,0,6,0.00,26.09
127,重庆,云阳县,0,23,0,16,0.00,69.57
128,重庆,綦江区,1,23,0,5,0.00,21.74
129,重庆,九龙坡区,0,20,1,7,5.00,35.00
130,重庆,渝中区,0,20,0,7,0.00,35.00
131,重庆,开州区,0,20,1,12,5.00,60.00
132,重庆,垫江县,0,20,0,5,0.00,25.00
133,重庆,奉节县,0,20,0,5,0.00,25.00
134,重庆,忠县,1,20,0,9,0.00,45.00
135,重庆,长寿区,2,20,0,9,0.00,45.00
136,重庆,潼南区,1,18,0,2,0.00,11.11
137,重庆,两江新区,0,17,0,7,0.00,41.18
138,重庆,南岸区,0,15,0,2,0.00,13.33
139,重庆,渝北区,0,15,0,5,0.00,33.33
140,重庆,大足区,0,14,0,2,0.00,14.29
141,重庆,石柱县,0,14,0,5,0.00,35.71
142,重庆,巫溪县,0,13,0,8,0.00,61.54
143,重庆,巫山县,0,10,0,5,0.00,50.00
144,重庆,丰都县,0,10,0,3,0.00,30.00
145,重庆,铜梁区,0,9,0,2,0.00,22.22
146,重庆,荣昌区,0,9,0,0,0.00,0.00
147,重庆,璧山区,0,8,0,4,0.00,50.00
148,重庆,沙坪坝区,0,8,0,0,0.00,0.00
149,重庆,大渡口区,0,7,0,4,0.00,57.14
150,重庆,巴南区,0,6,0,1,0.00,16.67
151,重庆,永川区,0,5,0,2,0.00,40.00
152,重庆,江津区,0,4,0,2,0.00,50.00
153,重庆,高新区,0,4,0,1,0.00,25.00
154,重庆,梁平区,0,4,0,4,0.00,100.00
155,重庆,涪陵区,0,3,0,1,0.00,33.33
156,重庆,城口县,0,2,0,2,0.00,100.00
157,重庆,黔江区,0,2,0,2,0.00,100.00
158,重庆,彭水县,0,2,0,0,0.00,0.00
159,重庆,武隆区,0,1,0,1,0.00,100.00
160,重庆,万盛经开区,0,1,0,0,0.00,0.00
161,重庆,酉阳县,0,1,0,0,0.00,0.00
162,重庆,秀山县,0,1,0,1,0.00,100.00
163,山东,青岛,1,57,1,22,1.75,38.60
164,山东,济宁,2,51,0,18,0.00,35.29
165,山东,临沂,0,47,0,29,0.00,61.70
166,山东,济南,0,47,0,11,0.00,23.40
167,山东,烟台,0,46,0,13,0.00,28.26
168,山东,潍坊,1,43,0,9,0.00,20.93
169,山东,威海,0,38,0,9,0.00,23.68
170,山东,聊城,0,38,0,10,0.00,26.32
171,山东,德州,1,37,1,7,2.70,18.92
172,山东,泰安,0,32,0,5,0.00,15.62
173,山东,淄博,1,29,0,4,0.00,13.79
174,山东,枣庄,0,24,0,4,0.00,16.67
175,山东,菏泽,0,18,0,11,0.00,61.11
176,山东,日照,1,16,0,3,0.00,18.75
177,山东,滨州,0,14,0,9,0.00,64.29
178,四川,成都,1,140,1,49,0.71,35.00
179,四川,甘孜,6,50,0,3,0.00,6.00
180,四川,达州,0,36,0,5,0.00,13.89
181,四川,南充,0,35,0,9,0.00,25.71
182,四川,广安,0,30,0,10,0.00,33.33
183,四川,巴中,0,24,0,1,0.00,4.17
184,四川,绵阳,0,22,0,6,0.00,27.27
185,四川,内江,0,22,0,5,0.00,22.73
186,四川,泸州,0,19,0,2,0.00,10.53
187,四川,德阳,0,17,0,0,0.00,0.00
188,四川,凉山,2,13,0,5,0.00,38.46
189,四川,攀枝花,0,13,0,10,0.00,76.92
190,四川,遂宁,2,12,0,4,0.00,33.33
191,四川,宜宾,0,11,0,6,0.00,54.55
192,四川,自贡,0,9,0,2,0.00,22.22
193,四川,眉山,0,8,0,2,0.00,25.00
194,四川,雅安,0,7,0,2,0.00,28.57
195,四川,广元,0,6,0,2,0.00,33.33
196,四川,资阳,0,3,0,2,0.00,66.67
197,四川,乐山,0,3,0,2,0.00,66.67
198,四川,阿坝,0,1,0,0,0.00,0.00
199,四川,地区待确认,0,0,2,0,0.00,0.00
200,黑龙江,哈尔滨,15,182,3,30,1.65,16.48
201,黑龙江,双鸭山,1,49,2,1,4.08,2.04
202,黑龙江,鸡西,1,46,0,1,0.00,2.17
203,黑龙江,绥化,0,46,4,12,8.70,26.09
204,黑龙江,齐齐哈尔,2,38,1,8,2.63,21.05
205,黑龙江,大庆,0,19,1,2,5.26,10.53
206,黑龙江,七台河,0,16,0,4,0.00,25.00
207,黑龙江,佳木斯,0,15,0,9,0.00,60.00
208,黑龙江,黑河,1,14,0,0,0.00,0.00
209,黑龙江,牡丹江,0,12,0,1,0.00,8.33
210,黑龙江,鹤岗,0,5,0,2,0.00,40.00
211,黑龙江,大兴安岭,0,2,0,0,0.00,0.00
212,黑龙江,伊春,0,1,0,0,0.00,0.00
213,北京,海淀,1,60,0,0,0.00,0.00
214,北京,朝阳,0,58,0,0,0.00,0.00
215,北京,西城,0,46,0,0,0.00,0.00
216,北京,大兴,0,39,0,0,0.00,0.00
217,北京,丰台,1,39,0,0,0.00,0.00
218,北京,外地来京,0,26,0,0,0.00,0.00
219,北京,昌平,1,25,0,0,0.00,0.00
220,北京,通州,1,18,0,0,0.00,0.00
221,北京,房山,1,15,0,0,0.00,0.00
222,北京,石景山,0,14,0,0,0.00,0.00
223,北京,东城,0,12,0,0,0.00,0.00
224,北京,顺义,0,10,0,0,0.00,0.00
225,北京,密云,0,7,0,0,0.00,0.00
226,北京,怀柔,0,7,0,0,0.00,0.00
227,北京,门头沟,0,3,0,0,0.00,0.00
228,北京,延庆,0,1,0,0,0.00,0.00
229,北京,地区待确认,0,0,4,105,0.00,0.00
230,上海,外地来沪,0,109,0,48,0.00,44.04
231,上海,浦东,1,57,0,27,0.00,47.37
232,上海,宝山,1,21,0,5,0.00,23.81
